event_all,year
"Easter Sunday – Marian Anderson performs on the steps of the Lincoln Memorial in Washington, D.C. at the instigation of Secretary of Interior Harold Ickes after the Daughters of the American Revolution (DAR) refused permission for Anderson to sing to an integrated audience in Constitution Hall and the federally controlled District of Columbia Board of Education declined a request to use the auditorium of a white public high school.",1939
"Billie Holiday first performs ""Strange Fruit"" in New York City. The song, a protest against lynching written by Abel Meeropol under the pen name Lewis Allan, became a signature song for Holiday.",1939
"The Little League is formed, becoming the nation's first non-segregated youth sport.",1939
"August 21 – Five African-American men recruited and trained by African-American attorney Samuel Wilbert Tucker conduct a sit-in at the then-segregated Alexandria, Virginia, library and are arrested after being refused library cards.[40]",1939
"September 21 – Followers of Father Divine and the International Peace Mission Movement join with workers to protest racially unfair hiring practices by conducting ""a kind of customers' nickel sit down strike"" in a restaurant.[41]",1939
1940s to 1970,1939
"Second Great Migration – In multiple acts of resistance and in response to factory labor shortages in World War II, more than 5 million African Americans leave the violence and segregation of the South for jobs, education, and the chance to vote in northern, midwestern, and western cities (mainly to the West Coast).",1939
"February 12 – In Chambers v. Florida, the U.S. Supreme Court frees three black men who were coerced into confessing to a murder.",1940
February 29 – Hattie McDaniel becomes the first African-American to win an Academy Award. She wins Best Supporting Actress for her performance as Mammy in Gone with the Wind.,1940
"October 25 – Benjamin O. Davis, Sr. is promoted to be the first African-American general in the U.S. Army.",1940
Richard Wright authors Native Son,1940
NAACP Legal Defense and Educational Fund is formed.,1940
"January 25 – A. Philip Randolph proposes a March on Washington, effectively beginning the March on Washington Movement.",1941
"early 1941 – U.S. Army forms African-American air combat units, the Tuskegee Airmen. The Tuskegee Airmen were involved in 15,000 combat sorties, winning 150 Distinguished Flying Crosses, 744 Air Medals, 8 Purple Hearts, and 14 Bronze Stars.[42]",1941
"June 25 – President Franklin Delano Roosevelt issues Executive Order 8802, the ""Fair Employment Act"", to require equal treatment and training of all employees by defense contractors.",1941
Mitchell v US – the Interstate Commerce Clause is used to successfully desegregate seating on trains.,1941
"Six non-violence activists in the Fellowship of Reconciliation (Bernice Fisher, James Russell Robinson, George Houser, James Farmer, Jr., Joe Guinn and Homer Jack) found the Committee on Racial Equality, which becomes the Congress of Racial Equality.",1942
Doctor Charles R. Drew developed techniques for separating and storing blood. He was the head of an American Red Cross effort to collect blood for American armed forces. He was the chief surgeon of Howard University's medical school and professor of surgery. His achievements were recognized when he became the first African-American surgeon to serve as an examiner on the American Board of Surgery.[43],1943
"The 1943 Detroit race riot erupts in Detroit, Michigan.",1943
Lena Horne stars in the all African-American film Stormy Weather.,1943
"April 3 – In Smith v. Allwright, the U.S. Supreme Court rules that the whites-only Democratic Party primary in Texas was unconstitutional.[44]",1944
April 25 – The United Negro College Fund is incorporated.,1944
"July 17 – Port Chicago disaster, which led to the Port Chicago mutiny.",1944
"August 1–7 – The Philadelphia transit strike of 1944, a strike by white transit workers protesting against job advancement by black workers, is broken by the U.S. military under the provisions of the Smith-Connally Act",1944
"September 3 – Recy Taylor kidnapped and gang-raped in Abbeville by six white men, who later confessed to the crimes but were never charged. The case was investigated by Rosa Parks and provided an early organizational spark for the Montgomery bus boycott.[45]",1944
"November 7 – Adam Clayton Powell, Jr. is elected to the U.S. House of Representatives from Harlem, New York.",1944
Miami hires its first black police officers.,1944
1945–1975,1944
"April 5–6 –  Freeman Field Mutiny, in which black officers of the U.S. Army Air Corps attempt to desegregate an all-white officers' club in Indiana.",1945
August – The first issue of Ebony.[46],1945
"June 3 – In Morgan v. Virginia, the U.S. Supreme Court invalidates provisions of the Virginia Code which require the separation of white and colored passengers where applied to interstate bus transport. The state law is unconstitutional insofar as it is burdening interstate commerce – an area of federal jurisdiction.[47]",1946
"In Florida, Daytona Beach, DeLand, Sanford, Fort Myers, Tampa, and Gainesville all have black police officers. So does Little Rock, Arkansas; Louisville, Kentucky; Charlotte, North Carolina; Austin, Houston, Dallas, San Antonio in Texas; Richmond, Virginia; Chattanooga and Knoxville in Tennessee",1946
Renowned actor/singer Paul Robeson founds the American Crusade Against Lynching.,1946
April 9 – The Congress of Racial Equality (CORE) sends 16 men on the Journey of Reconciliation.,1947
"April 15 – Jackie Robinson plays his first game for the Brooklyn Dodgers, becoming the first black baseball player in professional baseball in 60 years.",1947
John Hope Franklin authors the non-fiction book From Slavery to Freedom,1947
"United Nations, Article 4 of the Universal Declaration of Human Rights bans slavery globally.",1948
"January 12 – In Sipuel v. Board of Regents of Univ. of Okla., the U.S. Supreme Court rules that the State of Oklahoma and the University of Oklahoma Law School could not deny admission based on race (""color"").",1948
"May 3 – In Shelley v. Kraemer and companion case Hurd v. Hodge, the U.S. Supreme Court rules that the government cannot enforce racially restrictive covenants and asserts that they are in conflict with the nation's public policy.",1948
July 12 – Hubert Humphrey makes a controversial speech in favor of American civil rights at the Democratic National Convention.,1948
July 26 – President Harry S. Truman issues Executive Order 9981 ordering the end of racial discrimination in the Armed Forces. Desegregation comes after 1950.,1948
Atlanta hires its first black police officers.,1948
January 20 – Civil Rights Congress protests the second inauguration of Harry S. Truman.,1949
June 5 – In McLaurin v. Oklahoma State Regents the U.S. Supreme Court rules that a public institution of higher learning could not provide different treatment to a student solely because of his race.,1950
"June 5 – In Sweatt v. Painter the U.S. Supreme Court rules that a separate-but-equal Texas law school was actually unequal, partly in that it deprived black students from the collegiality of future white lawyers.",1950
June 5 – In Henderson v. United States the U.S. Supreme Court abolishes segregation in railroad dining cars.,1950
"September 15 – University of Virginia, under a federal court order, admits a black student to its law school.",1950
"The Leadership Conference on Civil Rights is created in Washington, DC to promote the enactment and enforcement of effective civil rights legislation and policy.",1950
"Orlando, Florida, hires its first black police officers.",1950
Dr. Ralph Bunche wins the 1950 Nobel Peace Prize.,1950
"Chuck Cooper, Nathaniel Clifton and Earl Lloyd break the barriers into the NBA.",1950
February 2 and 5 – Execution of the Martinsville Seven.,1951
February 15 – Maryland legislature ends segregation on trains and boats; meanwhile Georgia legislature votes to deny funds to schools that integrate.,1951
"April 23 – High school students in Farmville, Virginia, go on strike: the case Davis v. County School Board of Prince Edward County is heard by the U.S. Supreme Court in 1954 as part of Brown v. Board of Education.",1951
June 23 – A Federal Court ruling upholds segregation in SC public schools.,1951
"July 11 – White residents riot in Cicero, Illinois when a black family tries to move into an apartment in the all-white suburb of Chicago; National Guard disperses them July 1.",1951
July 26 – The United States Army high command announces it will desegregate the Army.,1951
"December 17 – ""We Charge Genocide"" petition presented to United Nations by the Civil Rights Congress accuses United States of violating the Genocide Convention",1951
"December 24 – The home of NAACP activists Harry and Harriette Moore in Mims, Florida, is bombed by KKK group; both die of injuries.",1951
"December 28 – The Regional Council of Negro Leadership (RCNL) is founded in Cleveland, Mississippi by T. R. M. Howard, Amzie Moore, Aaron Henry, and other civil rights activists. Assisted by member Medgar Evers, the RCNL distributed more than 50,000 bumper stickers bearing the slogan, ""Don't Buy Gas Where you Can't Use the Restroom.""  This campaign successfully pressured many Mississippi service stations to provide restrooms for blacks.",1951
January 5 – Governor of Georgia Herman Talmadge criticizes television shows for depicting blacks and whites as equal.,1952
"January 28 – Briggs v. Elliott: after a District Court had ordered separate but equal school facilities in South Carolina, the U.S. Supreme Court agrees to hear the case as part of Brown v. Board of Education.",1952
March 7 – Another federal court upholds segregated education laws in Virginia.,1952
"April 1 – Chancellor Collins J. Seitz finds for the black plaintiffs (Gebhart v. Belton, Gebhart v. Bulah) and orders the integration of Hockessin elementary and Claymont High School in Delaware based on assessment of ""separate but equal"" public school facilities required by the Delaware constitution.",1952
"September 4 – Eleven black students attend the first day of school at Claymont High School, Delaware, becoming the first black students in the 17 segregated states to integrate a white public school. The day occurs without incident or notice by the community.",1952
"September 5 – The Delaware State Attorney General informs Claymont Superintendent Stahl that the black students will have to go home because the case is being appealed. Stahl, the School Board and the faculty refuse and the students remain. The two Delaware cases are argued before the Warren U.S. Supreme Court by Redding, Greenberg and Marshall and are used as an example of how integration can be achieved peacefully. It was a primary influence in the Brown v. Board case. The students become active in sports, music and theater. The first two black students graduated in June 1954 just one month after the Brown v. Board case.",1952
Ralph Ellison authors the novel Invisible Man which wins the National Book Award.,1952
"June 8 – The U.S. Supreme Court strikes down segregation in Washington, DC restaurants.",1953
August 13 – Executive Order 10479 signed by President Dwight D. Eisenhower establishes the anti-discrimination Committee on Government Contracts.,1953
"September 1 – In the landmark case Sarah Keys v. Carolina Coach Company, WAC Sarah Keys, represented by civil rights lawyer Dovey Roundtree, becomes the first black to challenge ""separate but equal"" in bus segregation before the Interstate Commerce Commission.",1953
James Baldwin's semi-autobiographical novel Go Tell It on the Mountain is published.,1953
"May 3 – In Hernandez v. Texas, the U.S. Supreme Court rules that Mexican Americans and all other racial groups in the United States are entitled to equal protection under the 14th Amendment to the U.S. Constitution.",1954
"May 17 – The U.S. Supreme Court rules against the ""separate but equal"" doctrine in Brown v. Board of Education of Topeka, Kans. and in Bolling v. Sharpe, thus overturning Plessy v. Ferguson.",1954
"July 11 – The first White Citizens' Council meeting takes place, in Mississippi.",1954
"July 30 – At a special meeting in Jackson, Mississippi called by Governor Hugh White, T.R.M. Howard of the Regional Council of Negro Leadership, along with nearly one hundred other black leaders, publicly refuse to support a segregationist plan to maintain ""separate but equal"" in exchange for a crash program to increase spending on black schools.",1954
"September 2 – In Montgomery, Alabama, 23 black children are prevented from attending all-white elementary schools, defying the recent U.S. Supreme Court ruling.",1954
"September 7 – District of Columbia ends segregated education; Baltimore, Maryland follows suit on September 8",1954
"September 15 – Protests by white parents in White Sulphur Springs, WV force schools to postpone desegregation another year.",1954
September 16 – Mississippi responds by abolishing all public schools with an amendment to its State Constitution.,1954
"September 30 – Integration of a high school in Milford, Delaware collapses when white students boycott classes.",1954
"October 4 – Student demonstrations take place against integration of Washington, DC public schools.",1954
"October 19 – Federal judge upholds an Oklahoma law requiring African-American candidates to be identified on voting ballots as ""negro"".",1954
October 30 – Desegregation of U.S. Armed Forces said to be complete.,1954
"November – Charles Diggs, Jr., of Detroit is elected to Congress, the first African American elected from Michigan.",1954
"Frankie Muse Freeman is the lead attorney for the landmark NAACP case Davis et al. v. the St. Louis Housing Authority, which ended legal racial discrimination in public housing with the city. Constance Baker Motley was also an attorney for NAACP: it was a rarity to have two women attorneys leading such a high-profile case.",1954
January 7 – Marian Anderson (of 1939 fame) becomes the first African American to perform with the New York Metropolitan Opera.,1955
"January 15 – President Dwight D. Eisenhower signs Executive Order 10590, establishing the President's Committee on Government Policy to enforce a nondiscrimination policy in Federal employment.",1955
"January 20 – Demonstrators from CORE and Morgan State University stage a successful sit-in to desegregate Read's Drug Store in Baltimore, Maryland",1955
April 5 – Mississippi passes a law penalizing white students who attend school with blacks with jail and fines.,1955
"May 7 – NAACP and Regional Council of Negro Leadership activist Reverend George W. Lee is killed in Belzoni, Mississippi.",1955
"May 31 – The U.S. Supreme Court rules in ""Brown II"" that desegregation must occur with ""all deliberate speed"".",1955
June 8 – University of Oklahoma decides to allow black students.,1955
June 23 – Virginia governor and Board of Education decide to continue segregated schools into 1956.,1955
June 29 – The NAACP wins a U.S. Supreme Court suit which orders the University of Alabama to admit Autherine Lucy.,1955
July 11 – Georgia Board of Education orders that any teacher supporting integration be fired.,1955
"July 14 – A Federal Appeals Court overturns segregation on Columbia, SC buses.",1955
August 1 – Georgia Board of Education fires all black teachers who are members of the NAACP.,1955
"August 13 – Regional Council of Negro Leadership registration activist Lamar Smith is murdered in Brookhaven, Mississippi.",1955
"August 28 – Teenager Emmett Till is killed for whistling at a white woman in Money, Mississippi.",1955
"November 7 – The Interstate Commerce Commission bans bus segregation in interstate travel in Sarah Keys v. Carolina Coach Company, extending the logic of Brown v. Board to the area of bus travel across state lines. On the same day, the U.S. Supreme Court bans segregation on public parks and playgrounds. The governor of Georgia responds that his state would ""get out of the park business"" rather than allow playgrounds to be desegregated.",1955
"December 1 – Rosa Parks refuses to give up her seat on a bus, starting the Montgomery bus boycott. This occurs nine months after 15-year-old high school student Claudette Colvin became the first to refuse to give up her seat. Colvin's was the legal case which eventually ended the practice in Montgomery.",1955
Roy Wilkins becomes the NAACP executive secretary.,1955
January 2 – Georgia Tech president Blake R Van Leer stands up to Governor Marvin Griffin threats to bar Georgia Tech and Pittsburgh player Bobby Grier over segregation.,1956
January 9 – Virginia voters and representatives decide to fund private schools with state money to maintain segregation.,1956
"January 16 – FBI Director J. Edgar Hoover writes a rare open letter of complaint directed to civil rights leader Dr. T. R. M. Howard after Howard charged in a speech that the ""FBI can pick up pieces of a fallen airplane on the slopes of a Colorado mountain and find the man who caused the crash, but they can't find a white man when he kills a Negro in the South.""[48]",1956
"January 24 – Governors of Georgia, Mississippi, South Carolina and Virginia agree to block integration of schools.",1956
"February 1 – Virginia legislature passes a resolution that the U.S. Supreme Court integration decision was an ""illegal encroachment"".",1956
"February 3 – Autherine Lucy is admitted to the University of Alabama. Whites riot for days, and she is suspended. Later, she is expelled for her part in further legal action against the university.",1956
"February 24 – The policy of Massive Resistance is declared by U.S. Senator Harry F. Byrd, Sr.",1956
"February/March – The Southern Manifesto, opposing integration of schools, is created and signed by members of the Congressional delegations of Southern states, including 19 senators and 81 members of the House of Representatives, notably the entire delegations of the states of Alabama, Arkansas, Georgia, Louisiana, Mississippi, South Carolina and Virginia. On March 12, it is released to the press.",1956
"February 13 – Wilmington, Delaware school board decides to end segregation.",1956
"February 22 – Ninety black leaders in Montgomery, Alabama are arrested for leading a bus boycott.",1956
"February 29 – Mississippi legislature declares U.S. Supreme Court integration decision ""invalid"" in that state.",1956
March 1 – Alabama legislature votes to ask for federal funds to deport blacks to northern states.,1956
"March 12 – U.S. Supreme Court orders the University of Florida to admit a black law school applicant ""without delay"".",1956
"March 22 – Martin Luther King Jr. sentenced to fine or jail for instigating Montgomery bus boycott, suspended pending appeal.",1956
"April 11 – Singer Nat King Cole is assaulted during a segregated performance at Municipal Auditorium in Birmingham, Alabama.",1956
April 23 – U.S. Supreme Court strikes down segregation on buses nationwide.,1956
May 26 – Circuit Judge Walter B. Jones issues an injunction prohibiting the NAACP from operating in Alabama.,1956
"May 28 – The Tallahassee, Florida bus boycott begins.",1956
"June 5 – The Alabama Christian Movement for Human Rights (ACMHR) is founded at a mass meeting in Birmingham, Alabama.",1956
"September 2–11 – Teargas and National Guard used to quell segregationists rioting in Clinton, TN; 12 black students enter high school under Guard protection. Smaller disturbances occur in Mansfield, TX and Sturgis, KY.",1956
"September 10 – Two black students are prevented by a mob from entering a junior college in Texarkana, Texas. Schools in Louisville, KY are successfully desegregated.",1956
"September 12 – Four black children enter an elementary school in Clay, KY under National Guard protection; white students boycott. The school board bars the 4 again on September 17.",1956
October 15 – Integrated athletic or social events are banned in Louisiana.,1956
November 5 – Nat King Cole hosts the first show of The Nat King Cole Show. The show went off the air after only 13 months because no national sponsor could be found.,1956
"November 13 – In Browder v. Gayle, the U.S. Supreme Court strikes down Alabama laws requiring segregation of buses. This ruling, together with the ICC's 1955 ruling in Sarah Keys v. Carolina Coach banning ""Jim Crow laws"" in bus travel among the states, is a landmark in outlawing ""Jim Crow"" in bus travel.",1956
December 20 – Federal marshals enforce the ruling to desegregate bus systems in Montgomery.,1956
"December 24 – Blacks in Tallahassee, Florida begin defying segregation on city buses.",1956
"December 25 – The parsonage in Birmingham, Alabama occupied by Fred Shuttlesworth, movement leader,  is bombed. Shuttlesworth receives only minor scrapes.",1956
December 26 – The ACMHR tests the Browder v. Gayle ruling by riding in the white sections of Birmingham city buses. 22 demonstrators are arrested.,1956
Mississippi State Sovereignty Commission formed.,1956
"Director J. Edgar Hoover orders the FBI to begin the COINTELPRO program to investigate and disrupt ""dissident"" groups within the United States.",1956
February 8 – Georgia Senate votes to declare the 14th and 15th Amendments to the United States Constitution null and void in that state.,1957
February 14 – Southern Christian Leadership Conference is formed; Dr. Martin Luther King Jr. is named its chairman.,1957
"April 18 – Florida Senate votes to consider U.S. Supreme Court's desegregation decisions ""null and void"".",1957
"May 17 – The Prayer Pilgrimage for Freedom in Washington, DC is at the time the largest nonviolent demonstration for civil rights, and features Dr. King's ""Give Us The Ballot"" speech.",1957
"September 2 – Orval Faubus, governor of Arkansas, calls out the National Guard to block integration of Little Rock Central High School.",1957
September 6 – Federal judge orders Nashville public schools to integrate immediately.,1957
"September 15 – New York Times reports that in three years since the decision, there has been minimal progress toward integration in four southern states, and no progress at all in seven.",1957
September 24 – President Dwight Eisenhower federalizes the National Guard and also orders US Army troops to ensure Little Rock Central High School in Arkansas is integrated. Federal and National Guard troops escort the Little Rock Nine.,1957
September 27 – Civil Rights Act of 1957 signed by President Eisenhower.,1957
"October 7 – The finance minister of Ghana is refused service at a Dover, Delaware restaurant. President Eisenhower hosts him at the White House to apologize October 10.",1957
October 9 – Florida legislature votes to close any school if federal troops are sent to enforce integration.,1957
October 31 – Officers of NAACP arrested in Little Rock for failing to comply with a new financial disclosure ordinance.,1957
November 26 – Texas legislature votes to close any school where federal troops might be sent.,1957
"January 18 – Willie O'Ree breaks the color barrier in the National Hockey League, in his first game playing for the Boston Bruins.",1958
"June 29 – Bethel Baptist Church (Birmingham, Alabama) is bombed by Ku Klux Klan members, killing four girls.",1958
"June 30 – In NAACP v. Alabama, the U.S. Supreme Court rules that the NAACP was not required to release membership lists to continue operating in the state.",1958
"July – NAACP Youth Council sponsored sit-ins at the lunch counter of a Dockum Drug Store in downtown Wichita, Kansas. After three weeks, the movement successfully got the store to change its policy of segregated seating, and soon afterward all Dockum stores in Kansas were desegregated.",1958
"August 19 – Clara Luper and the NAACP Youth Council conduct the largest successful sit-in to date, on drug store lunch-counters in Oklahoma City. This starts a successful six-year campaign by Luper and the council to desegregate businesses and related institutions in Oklahoma City.",1958
August – Jimmy Wilson sentenced to death in Alabama for stealing $1.95; Secretary of State John Foster Dulles asks Governor Jim Folsom to commute his sentence because of international criticism.,1958
September 2 – Governor J. Lindsay Almond of Virginia threatens to shut down any school if it is forced to integrate.,1958
"September 4 – Justice Department sues under Civil Rights Act to force Terrell County, Georgia to register blacks to vote.",1958
September 8 – A Federal judge orders Louisiana State University to desegregate; 69 African Americans enroll successfully on September 12.,1958
"September 12 – In Cooper v. Aaron the U.S. Supreme Court rules that the states were bound by the Court's decisions. Governor Faubus responds by shutting down all four high schools in Little Rock, and Governor Almond shuts one in Front Royal, Virginia.",1958
"September 18 – Governor Lindsay closes two more schools in Charlottesville,  Virginia, and six in Norfolk on September 27.",1958
September 29 – The U.S. Supreme Court rules that states may not use evasive measures to avoid desegregation.,1958
"October 8 – A Federal judge in Harrisonburg, VA rules that public money may not be used for segregated private schools.",1958
October 20 – Thirteen blacks arrested for sitting in front of bus in Birmingham.,1958
November 28 – Federal court throws out Louisiana law against integrated athletic events.,1958
December 8 – Voter registration officials in Montgomery refuse to cooperate with US Civil Rights Commission investigation.,1958
"Publication of Here I Stand, Paul Robeson's manifesto-autobiography.",1958
"January 9 – One Federal judge throws out segregation on Atlanta, GA buses, while another orders Montgomery registrars to comply with the Civil Rights Commission.",1959
January 12 – Motown Records is founded by Berry Gordy.,1959
January 19 – Federal Appeals court overturns Virginia's closure of the schools in Norfolk; they reopen January 28 with 17 black students.,1959
"February 2 – A high school in Arlington, VA desegregates, allowing four black students.",1959
"April 10 – Three schools in Alexandria, Virginia desegregate with a total of nine black students.",1959
"April 18 – King speaks for the integration of schools at a rally of 26,000 at the Lincoln Memorial in Washington, DC.",1959
April 24 – Mack Charles Parker is lynched three days before his trial.,1959
November 20 – Alabama passes laws to limit black voter registration.,1959
"A Raisin in the Sun, a play by Lorraine Hansberry, debuts on Broadway. The 1961 film version will star Sidney Poitier.[46]",1959
"February 1 – Four black students sit at the Woolworth's lunch counter in Greensboro, North Carolina, sparking six months of the Greensboro sit-ins.",1960
"February 13 – The Nashville sit-ins begin, although the Nashville students, trained by activist and nonviolent teacher James Lawson, had been doing preliminary groundwork towards the action for two months. The sit-in ends successfully in May.",1960
February 17 – Alabama grand jury indicts Dr. King for tax evasion.,1960
"February 19 – Virginia Union University students, called the Richmond 34 stage sit-in at Woolworth's lunch counter in Richmond, Virginia.[49]",1960
February 22 – The Richmond 34 stage a sit in the Richmond Room at Thalhimer's department store.,1960
March 3 – Vanderbilt University expels James Lawson for sit-in participation.,1960
"March 4, 1960 – Houston's first sit-in, led by Texas Southern University students, was held at the Weingarten's lunch counter, located at 4110 Almeda in Houston, Texas. [2]",1960
"March 7 – Felton Turner of Houston is beaten and hanged upside-down in a tree, initials KKK carved on his chest.",1960
March 19 – San Antonio becomes first city to integrate lunch counters.,1960
"March 20 – Florida Governor LeRoy Collins calls lunch counter segregation ""unfair and morally wrong"".",1960
April 8 – Weak civil rights bill survives Senate filibuster.,1960
"April 15–17 – The Student Nonviolent Coordinating Committee (SNCC) is formed in Raleigh, North Carolina.",1960
"April 19 – Z. Alexander Looby's home is bombed, with no injuries. Looby, a Nashville civil rights lawyer, was active in the cities ongoing sit-in movement.",1960
May – Nashville sit-ins end successfully.,1960
May 6 – Civil Rights Act of 1960 signed by President Dwight D. Eisenhower.,1960
May 28 – William Robert Ming and Hubert Delaney obtain an acquittal of Dr. King from an all-white jury in Alabama.[50],1960
June 24 – King meets Senator John F. Kennedy (JFK).,1960
June 28 – Bayard Rustin resigns from SCLC after condemnation by Rep. Adam Clayton Powell Jr.,1960
July 11 – To Kill a Mockingbird published.,1960
"July 31 – Elijah Muhammad calls for an all-black state. Membership in the Nation of Islam estimated at 100,000.",1960
August – Reverend Wyatt Tee Walker replaces Ella Baker as SCLC's Executive Director.,1960
October 19 – Dr. King and fifty others arrested at sit-in at Atlanta's Rich's Department Store.,1960
October 26 – Dr. King's earlier probation revoked; he is transferred to Reidsville State Prison.,1960
"October 28 – After intervention from Robert F. Kennedy (RFK), King is free on bond.",1960
November 8 – John F. Kennedy defeats Richard Nixon in the 1960 presidential election.,1960
"November 14 – Ruby Bridges becomes the first African-American child to attend an all-white elementary school in the South (William Frantz Elementary School) following court-ordered integration in New Orleans, Louisiana. This event was portrayed by Norman Rockwell in his 1964 painting The Problem We All Live With.",1960
"December 5 – In Boynton v. Virginia, the U.S. Supreme Court holds that racial segregation in bus terminals is illegal because such segregation violates the Interstate Commerce Act. This ruling, in combination with the ICC's 1955 decision in Keys v. Carolina Coach, effectively outlaws segregation on interstate buses and at the terminals servicing such buses.",1960
"January 11 – Rioting over court-ordered admission of first two African Americans (Hamilton E. Holmes and Charlayne Hunter-Gault) at the University of Georgia leads to their suspension, but they are ordered reinstated.",1961
"January 31 – Member of the Congress of Racial Equality (CORE) and nine students were arrested in Rock Hill, South Carolina for a sit-in at a McCrory's lunch counter.",1961
"March 6 – JFK issues Executive Order 10925, which establishes a Presidential committee that later becomes the Equal Employment Opportunity Commission.",1961
"May 4 – The first group of Freedom Riders, with the intent of integrating interstate buses, leaves Washington, D.C. by Greyhound bus. The group, organized by the Congress of Racial Equality (CORE), leaves shortly after the U.S. Supreme Court has outlawed segregation in interstate transportation terminals.[51]",1961
"May 14 – The Freedom Riders' bus is attacked and burned outside of Anniston, Alabama. A mob beats the Freedom Riders upon their arrival in Birmingham. The Freedom Riders are arrested in Jackson, Mississippi, and spend forty to sixty days in Parchman Penitentiary.[51]",1961
"May 17 – Nashville students, coordinated by Diane Nash and James Bevel, take up the Freedom Ride, signaling the increased involvement of SNCC.",1961
"May 20 – Freedom Riders are assaulted in Montgomery, Alabama, at the Greyhound Bus Station.",1961
"May 21 – Dr. King, the Freedom Riders, and congregation of 1,500 at Reverend Ralph Abernathy's First Baptist Church in Montgomery are besieged by mob of segregationists; Attorney General Robert F. Kennedy sends federal marshals to protect them.",1961
"May 29 – Attorney General Robert F. Kennedy, citing the 1955 landmark ICC ruling in Sarah Keys v. Carolina Coach Company and the U.S. Supreme Court's 1960 decision in Boynton v. Virginia, petitions the ICC to enforce desegregation in interstate travel.",1961
June–August – U.S. Department of Justice initiates talks with civil rights groups and foundations on beginning Voter Education Project.,1961
"July – SCLC begins citizenship classes; Andrew J. Young hired to direct the program. Bob Moses begins voter registration in McComb, Mississippi.",1961
September – James Forman becomes SNCC's Executive Secretary.,1961
"September 23 – The Interstate Commerce Commission, at RFK's insistence, issues new rules ending discrimination in interstate travel, effective November 1, 1961, six years after the ICC's own ruling in Sarah Keys v. Carolina Coach Company.",1961
"September 25 – Voter registration activist Herbert Lee killed in McComb, Mississippi.",1961
"November 1 – All interstate buses required to display a certificate that reads: ""Seating aboard this vehicle is without regard to race, color, creed, or national origin, by order of the Interstate Commerce Commission.""[52]",1961
"November 1 – SNCC workers Charles Sherrod and Cordell Reagon and nine Chatmon Youth Council members test new ICC rules at Trailways bus station in Albany, Georgia.[53]",1961
"November 17 – SNCC workers help encourage and coordinate black activism in Albany, Georgia, culminating in the founding of the Albany Movement as a formal coalition.[53]",1961
"November 22 – Three high school students from Chatmon's Youth Council arrested after using ""positive actions"" by walking into white sections of the Albany bus station.[53]",1961
November 22 – Albany State College students Bertha Gober and Blanton Hall arrested after entering the white waiting room of the Albany Trailways station.[53],1961
"December 10 – Freedom Riders from Atlanta, SNCC leader Charles Jones, and Albany State student Bertha Gober are arrested at Albany Union Railway Terminal, sparking mass demonstrations, with hundreds of protesters arrested over the next five days.[54]",1961
"December 11–15 – Five hundred protesters arrested in Albany, Georgia.",1961
"December 15 – King arrives in Albany, Georgia in response to a call from Dr. W. G. Anderson, the leader of the Albany Movement to desegregate public facilities.[51]",1961
"December 16 – Dr. King is arrested at an Albany, Georgia demonstration. He is charged with obstructing the sidewalk and parading without a permit.[51]",1961
"December 18 – Albany truce, including a 60-day postponement of King's trial; King leaves town.[55]",1961
Whitney Young is appointed executive director of the National Urban League and begins expanding its size and mission.,1961
"Black Like Me written by John Howard Griffin, a white southerner who deliberately tanned and dyed his skin to allow him to directly experience the life of the Negro in the Deep South, is published, displaying the brutality of ""Jim Crow"" segregation to a national audience.",1961
"January 18–20 – Student protests over sit-in leaders' expulsions at Baton Rouge's Southern University, the nation's largest black school, close it down.",1962
"February – Representatives of SNCC, CORE, and the NAACP form the Council of Federated Organizations (COFO). A grant request to fund COFO voter registration activities is submitted to the Voter Education Project (VEP).",1962
"February 26 – Segregated transportation facilities, both interstate and intrastate, ruled unconstitutional by U.S. Supreme Court.",1962
March – SNCC workers sit-in at U.S. Attorney General Robert F. Kennedy's office to protest jailings in Baton Rouge.,1962
March 20 – FBI installs wiretaps on NAACP activist Stanley Levison's office.,1962
"April 3 – Defense Department orders full racial integration of military reserve units, except the National Guard.",1962
"April 9 – Corporal Roman Duckworth shot by a police officer in Taylorsville, Mississippi.",1962
June – Leroy Willis becomes first black graduate of the University of Virginia College of Arts and Sciences.,1962
June – SNCC workers establish voter registration projects in rural southwest Georgia.,1962
July 10 – August 28 SCLC renews protests in Albany; King in jail July 10–12 and July 27 – August 10.,1962
"August 31 – Fannie Lou Hamer attempts to register to vote in Indianola, Mississippi.",1962
"September 9 – Two black churches used by SNCC for voter registration meetings are burned in Sasser, Georgia.",1962
September 20 – James Meredith is barred from becoming the first black student to enroll at the University of Mississippi.,1962
September 30-October 1 – U.S. Supreme Court Justice Hugo Black orders James Meredith admitted to Ole Miss.; he enrolls and a riot ensues. French photographer Paul Guihard and Oxford resident Ray Gunter are killed.,1962
"October – Leflore County, Mississippi, supervisors cut off surplus food distribution in retaliation against voter drive.",1962
October 23 – FBI begins Communist Infiltration (COMINFIL) investigation of SCLC.,1962
"November 7–8 – Edward Brooke selected Massachusetts Attorney General, Leroy Johnson elected Georgia State Senator, Augustus F. Hawkins elected first black from California in Congress.",1962
November 20 – Attorney General Kennedy authorizes FBI wiretap on Stanley Levison's home telephone.,1962
November 20 – President Kennedy upholds 1960 presidential campaign promise to eliminate housing segregation by signing Executive Order 11063 banning segregation in Federally funded housing.,1962
